,ligand_pose,logits
0,012_44_14142_0,0.013054243
1,021_2213_23131_0,0.012392519
2,020_609_11847_0,0.007717745
3,018_1059_23151_0,0.12632737
4,021_215_7784_0,0.2582062
5,019_469_15000_0,0.0108291805
6,031_129_1438_0,0.008381215
7,031_263_3819_0,0.0011268723
8,027_44_3546_0,0.0037133868
9,018_58_20728_0,0.013454192
10,021_1340_8724_0,0.02783573
11,020_2074_28439_0,0.020873124
12,032_380_18347_0,0.0043172087
13,018_818_15284_0,0.13701254
14,019_816_13694_0,0.0010992032
15,032_526_4197_0,0.035884373
16,036_20_22504_0,0.0009459547
17,018_1147_6388_0,0.18002975
18,023_569_17955_0,0.0015830904
19,018_118_26202_0,0.00544719
20,018_1349_3792_0,0.08826938
21,022_327_7502_0,0.006639672
22,019_1495_4492_0,0.07203498
23,025_74_27916_0,0.0017138623
24,015_9_9225_0,0.0072214697
25,022_1170_3131_0,0.2683992
26,021_292_12281_0,0.016129952
27,021_2638_14695_0,0.004374828
28,021_1631_2328_0,0.300148
29,019_1828_15264_0,0.008975719
30,020_2385_16464_0,0.013938851
31,019_758_8361_0,0.005841797
32,021_3014_12644_0,0.005572152
33,020_4485_8905_0,0.0056955507
34,022_1327_1006_0,0.11233865
35,021_690_23540_0,0.095626324
36,020_1526_7366_0,0.02450693
37,032_51_23747_0,0.001797314
38,019_296_23268_0,0.008822498
39,019_892_27993_0,0.0025476802
40,019_1317_20454_0,0.007886054
41,019_1266_5673_0,0.0012887145
42,031_80_2556_0,0.07142162
43,019_287_25922_0,0.0035835532
44,018_1418_3917_0,0.07357739
45,022_665_15807_0,0.018521521
46,021_412_11059_0,0.0014478699
47,023_635_25548_0,0.09700695
48,019_1384_22549_0,0.0049757645
49,019_1795_15958_0,0.0045941495
50,020_1355_26735_0,0.13273558
51,021_2919_21692_0,0.012788581
52,020_4689_7525_0,0.025409885
53,018_1190_22555_0,0.0035780543
54,021_1856_22901_0,0.019703818
55,020_1713_10671_0,0.018819332
56,020_1160_15526_0,1.3213042e-05
57,018_1186_10398_0,0.011805475
58,023_1470_13691_0,0.0039468855
59,031_166_10455_0,0.13572855
60,019_896_3163_0,0.028449394
61,032_204_19953_0,0.038919054
62,009_59_26862_0,0.00759297
63,021_2796_1274_0,0.42705965
64,036_96_16759_0,0.001722992
65,022_95_2903_0,0.006738948
66,020_1489_12776_0,0.0032542048
67,020_2420_14947_0,0.26644012
68,023_1407_21343_0,0.0050967997
69,018_814_17110_0,0.027150566
70,023_713_12820_0,0.024745138
71,005_49_19110_0,0.031384602
72,032_652_1638_0,0.9241746
73,033_11_7150_0,0.16348459
74,019_1356_10069_0,0.0029920025
75,023_641_4740_0,0.0048252344
76,038_70_13720_0,0.00867455
77,020_3824_27972_0,0.010498825
78,020_2593_22604_0,0.002026771
79,021_2521_4191_0,0.03572667
80,018_1317_3662_0,0.0050771455
